时间戳,绝对时间,相对时间(s),功能码,参数,校验通过,MagNorm,Mx,My,Mz
19:11:45.390,19:11:45.390,9445.05,0x8A,0x00,True,4,3.16,3.8,-0.43
19:12:15.380,19:12:15.380,9475.04,0x8A,0x00,True,4,3.16,3.81,-0.43
19:12:45.370,19:12:45.370,9505.03,0x8A,0x00,True,4,3.14,3.83,-0.53
19:13:15.359,19:13:15.359,9535.019,0x8A,0x00,True,4,3.18,3.76,-0.42
19:13:45.360,19:13:45.360,9565.02,0x8A,0x00,True,5,3.19,3.85,-0.48
19:14:15.345,19:14:15.345,9595.005,0x8A,0x00,True,4,3.16,3.8,-0.52
19:14:45.320,19:14:45.320,9624.98,0x8A,0x00,True,4,3.16,3.79,-0.51
19:15:15.324,19:15:15.324,9654.984,0x8A,0x00,True,4,3.17,3.82,-0.44
19:15:45.305,19:15:45.305,9684.965,0x8A,0x00,True,4,3.17,3.79,-0.51
19:16:15.290,19:16:15.290,9714.95,0x8A,0x00,True,4,3.17,3.83,-0.46
19:16:45.294,19:16:45.294,9744.954,0x8A,0x00,True,4,3.14,3.83,-0.5
19:17:15.285,19:17:15.285,9774.945,0x8A,0x00,True,4,3.16,3.83,-0.5
19:17:45.274,19:17:45.274,9804.934,0x8A,0x00,True,4,3.16,3.78,-0.44
19:18:15.244,19:18:15.244,9834.904,0x8A,0x00,True,4,3.15,3.78,-0.45
19:18:45.240,19:18:45.240,9864.9,0x8A,0x00,True,4,3.16,3.79,-0.49
19:19:15.225,19:19:15.225,9894.885,0x8A,0x00,True,4,3.18,3.81,-0.49
19:19:45.229,19:19:45.229,9924.889,0x8A,0x00,True,4,3.16,3.78,-0.43
19:20:15.215,19:20:15.215,9954.875,0x8A,0x00,True,5,3.19,3.83,-0.43
19:20:45.204,19:20:45.204,9984.864,0x8A,0x00,True,4,3.15,3.81,-0.44
19:21:15.195,19:21:15.195,10014.855,0x8A,0x00,True,4,3.17,3.82,-0.52
19:21:45.154,19:21:45.154,10044.814,0x8A,0x00,True,4,3.16,3.81,-0.47
19:22:15.163,19:22:15.163,10074.823,0x8A,0x00,True,4,3.16,3.79,-0.51
19:22:45.145,19:22:45.145,10104.805,0x8A,0x00,True,4,3.18,3.78,-0.48
19:23:15.145,19:23:15.145,10134.805,0x8A,0x00,True,4,3.16,3.77,-0.51
19:23:45.125,19:23:45.125,10164.785,0x8A,0x00,True,4,3.16,3.82,-0.51
19:24:15.115,19:24:15.115,10194.775,0x8A,0x00,True,5,3.17,3.83,-0.52
19:24:45.100,19:24:45.100,10224.76,0x8A,0x00,True,4,3.14,3.82,-0.5
19:25:15.075,19:25:15.075,10254.735,0x8A,0x00,True,4,3.17,3.81,-0.45
19:25:45.064,19:25:45.064,10284.724,0x8A,0x00,True,4,3.18,3.81,-0.52
19:26:15.072,19:26:15.072,10314.732,0x8A,0x00,True,4,3.15,3.79,-0.49
19:26:45.055,19:26:45.055,10344.715,0x8A,0x00,True,4,3.19,3.79,-0.54
19:27:15.039,19:27:15.039,10374.699,0x8A,0x00,True,4,3.16,3.82,-0.47
19:27:45.029,19:27:45.029,10404.689,0x8A,0x00,True,5,3.17,3.84,-0.49
19:28:15.005,19:28:15.005,10434.665,0x8A,0x00,True,4,3.16,3.8,-0.51
19:28:44.990,19:28:44.990,10464.65,0x8A,0x00,True,4,3.15,3.81,-0.51
19:29:14.984,19:29:14.984,10494.644,0x8A,0x00,True,4,3.18,3.81,-0.44
19:29:44.985,19:29:44.985,10524.645,0x8A,0x00,True,5,3.19,3.82,-0.53
19:30:14.954,19:30:14.954,10554.614,0x8A,0x00,True,5,3.17,3.86,-0.5
19:30:44.955,19:30:44.955,10584.615,0x8A,0x00,True,4,3.18,3.79,-0.49
19:31:14.925,19:31:14.925,10614.585,0x8A,0x00,True,4,3.17,3.8,-0.48
19:31:44.910,19:31:44.910,10644.57,0x8A,0x00,True,5,3.18,3.83,-0.47
19:32:14.900,19:32:14.900,10674.56,0x8A,0x00,True,4,3.16,3.81,-0.46
19:32:44.899,19:32:44.899,10704.559,0x8A,0x00,True,4,3.17,3.79,-0.45
19:33:14.890,19:33:14.890,10734.55,0x8A,0x00,True,4,3.16,3.82,-0.52
